"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills","CrossPartyProp"
"Seema Mohiuddin Jameeli","PML-N",54,0.0692085732059923,0.265846736045412,2.9365789729855e-05,0.0041604239121501,7,0.518518518518518
"Sher Akbar Khan","JI",45,0.0566795583339101,0.260667903525046,0.000820347357526977,0.00658801294443041,35,0.888888888888889
"Dr. Ramesh Kumar Vankwani","PTI",47,0.0491788128387811,0.248233215547703,3.15310179108176e-06,0.0050582322163715,41,0.914893617021277
"Syed Naveed Qamar","PPPP",15,0.0458384964366102,0.211278195488722,0.00559081234027636,0.00509585600206853,65,0.6
"Ramesh Lal","PPPP",21,0.0382042352350378,0.227899432278994,7.22851045853214e-08,0.00455875192421014,7,0.666666666666667
"Ijaz Ahmad Shah","PTI",11,0.0336222247856845,0.2,6.32929917192298e-06,0.00248800966973273,47,0.818181818181818
"Sardar Ayaz Sadiq","PML-N",22,0.02940618679686,0.229762878168438,4.94663532971553e-05,0.00425100760730358,81,0.5
"Sardar Muhammad Irfan Dogar","PML-N",20,0.0271756684342625,0.233001658374793,0.00159438748261403,0.00179991536386943,5,0.6
"Naveed Aamir","PPPP",12,0.0242227388312724,0.21953125,6.19629539151158e-06,0.00207866365269392,48,0.583333333333333
"Romina Khurshid Alam","PML-N",34,0.0230791975690382,0.253610108303249,0.000823488825812996,0.00404645852887913,19,0.676470588235294
"Mrs. Aliya Kamran","MMA",35,0.0223328003025999,0.240788346186804,7.65351449357816e-05,0.00768265009682437,66,0.657142857142857
"Muhammad Azam Khan Swati","PTI",9,0.0220902236846993,0.165294117647059,5.91023176584149e-06,0.000647840281953264,10,0.888888888888889
"Aasiya Nasir","JUI",24,0.0179718052393285,0.239761092150171,2.73744669612668e-06,0.00260865538057645,16,0.666666666666667
"Iqbal Muhammad Ali Khan","MQM",63,0.0176940624076308,0.220219435736677,0.000310647366970468,0.0151387394240077,108,0.53968253968254
"Malik Nawab Sher Waseer","PTI",21,0.0162298672525582,0.240994854202401,0.00157275331686767,0.00139737010994318,4,0.523809523809524
"James Iqbal","MMA",23,0.0146076434987358,0.234166666666667,0.000917584343831738,0.00577377003154337,72,0.869565217391304
"Syed Javed Hassnain","PML-N",21,0.0124322657998113,0.229575163398693,1.04241583416102e-05,0.00555322503004152,100,0.666666666666667
"Samina Matloob","PML-N",26,0.0123368047885242,0.244773519163763,2.88340761032898e-05,0.00265381011081258,15,0.692307692307692
"Kishwer Zehra","MQM",58,0.0102557532478173,0.224261771747805,0.000335113476343243,0.0197756747175481,202,0.482758620689655
"Mehnaz Akber Aziz","PML-N",29,0.00893505563246867,0.249113475177305,0.00301677476436029,0.00211826443101933,21,0.827586206896552
"Imran Zafar Leghari","PPPP",21,0.00877164579984718,0.210172026925954,2.23888023109422e-06,0.00216556045773431,4,0.761904761904762
"Shahida Akhtar Ali","JUI",43,0.00850296475870779,0.229575163398693,6.99837757984812e-05,0.00530830214397235,18,0.767441860465116
"Moulana Abdul Akbar Chitrali","MMA",29,0.00835573664528019,0.234166666666667,0.00127231365959163,0.00440045563890962,43,0.586206896551724
"Zahra Wadood Fatemi","PML-N",26,0.00770936496965357,0.243923611111111,2.79643825259797e-05,0.00289387240193556,24,0.653846153846154
"Usama Qadri","MQM",30,0.00716144064700887,0.219017926734217,0.000294394353673166,0.00960979631840964,74,0.733333333333333
"Ms. Nafisa Shah","PPPP",34,0.00714013096611135,0.126292134831461,9.97673914039589e-05,0.00680624345292822,75,0.735294117647059
"Shakila Khalid Chaudhary","PML-N",6,0.00710942823368295,0.213850837138508,1.09801730893954e-06,0.000651217714109804,3,0.666666666666667
"Mohsin Javed","IND",11,0.00709869475612549,0.210486891385768,0.00763120912074123,0.00491271040947382,82,0.818181818181818
"Naeema Kishwar Khan","JUI",38,0.00635550406590132,0.228084415584416,3.25233055183919e-06,0.00426243585414566,37,0.736842105263158
"Afreen Khan","MMA",21,0.00565137773146308,0.227346278317152,0.000702126956071083,0.00182663760978903,3,0.476190476190476
"Shaikh Salahuddin","MQM",48,0.00438004068029161,0.211596385542169,2.30153345049711e-05,0.0100776307430643,60,0.458333333333333
"Phyllis Azeem","PML-N",30,0.00413945614346313,0.228827361563518,2.83913957151105e-06,0.00267884165718168,4,0.6
"Dr. Azra Fazal Pecheho","PPPP",18,0.00380445517987426,0.122014763352149,5.08417012931834e-06,0.0028215275861748,34,0.5
"Dr. Darshan","PML-N",15,0.00369033044405497,0.224261771747805,7.22841916821032e-08,0.0022945846094403,4,0.666666666666667
"Qadir Khan Mandokhail","PPPP",11,0.00361613317086183,0.214667685255921,1.95063860924617e-06,0.0033654131367258,49,0.727272727272727
"Salah-ud-Din","MQM",19,0.00308409766631146,0.21953125,0.000217241303562814,0.00846783402297924,71,0.631578947368421
"Usman Khan Tarrakai","PTI",17,0.00292992967658646,0.229200652528548,1.11881019017405e-05,0.00171899837715226,3,0.529411764705882
