"Legislator","Party","Degree","Betweenness"
"Seema Mohiuddin Jameeli","PML-N",54,0.0949574820727555
"Sher Akbar Khan","JI",45,0.0777670727059283
"Isphanyar M. Bhandara","PML-N",23,0.0772684459679282
"Dr. Ramesh Kumar Vankwani","PTI",47,0.0674756901084852
"Syed Naveed Qamar","PPPP",15,0.0628926157842625
"Qaisar Ahmad Sheikh","PML-N",25,0.0547556004637279
"Muhammad Ibrahim Khan","PTI",42,0.0542998874466452
"Ramesh Lal","PPPP",21,0.0524180432334116
"Ijaz Ahmad Shah","PTI",11,0.0461313051177936
"Imran Khattak","PTI",46,0.0444446709970411
"Mian Najibuddin Awaisi","PML-N",16,0.0433870920843132
"Sardar Ayaz Sadiq","PML-N",22,0.0403466987721278
"Sardar Muhammad Irfan Dogar","PML-N",20,0.0372863205903832
"Nafeesa Inayatullah Khan Khattak","PTI",64,0.036935157998853
"Naveed Aamir","PPPP",12,0.0332347595358957
"Romina Khurshid Alam","PML-N",34,0.0316657660734115
"Ali Nawaz Awan","PTI",36,0.0313184749268192
"Mrs. Aliya Kamran","MMA",35,0.0306416732224288
"Muhammad Azam Khan Swati","PTI",9,0.0303088464673243
"Rana Sana Ullah Khan","PML-N",19,0.028417615282195
