"Legislator","Party","Eigenvector","Label","Rank"
"Riaz Fatyana","PTI",1,"Riaz Fatyana
(PTI)",1
"Syed Fakhar Imam","PTI",0.956692,"Syed Fakhar Imam
(PTI)",2
"Amjid Ali Khan","PTI",0.735459,"Amjid Ali Khan
(PTI)",3
"Mian Najibuddin Awaisi","PML-N",0.431925,"Mian Najibuddin Awaisi
(PML-N)",4
"Nafeesa Inayatullah Khan Khattak","PTI",0.011554,"Nafeesa Inayatullah Khan Khattak
(PTI)",5
"Mohsin Javed","IND",0.007631,"Mohsin Javed
(IND)",6
"Syed Naveed Qamar","PPPP",0.005591,"Syed Naveed Qamar
(PPPP)",7
"Mohsin Shah Nawaz Ranjha","PML-N",0.005482,"Mohsin Shah Nawaz Ranjha
(PML-N)",8
"Ali Nawaz Awan","PTI",0.00506,"Ali Nawaz Awan
(PTI)",9
"Uzma Riaz","PTI",0.00459,"Uzma Riaz
(PTI)",10
"Sadaqat Ali Khan","PTI",0.004555,"Sadaqat Ali Khan
(PTI)",11
"Raja Khurram Shahzad Nawaz","PTI",0.004255,"Raja Khurram Shahzad Nawaz
(PTI)",12
"Haider Ali","PTI",0.003975,"Haider Ali
(PTI)",13
"Mehnaz Akber Aziz","PML-N",0.003017,"Mehnaz Akber Aziz
(PML-N)",14
"Noor Alam Khan","PTI",0.002454,"Noor Alam Khan
(PTI)",15
"Asad Umar","PTI",0.002219,"Asad Umar
(PTI)",16
"Imran Khattak","PTI",0.001905,"Imran Khattak
(PTI)",17
"Muhammad Sana Ullah Khan Masti Khel","PTI",0.001686,"Muhammad Sana Ullah Khan Masti Khel
(PTI)",18
"Nooreen Farooq Khan","PTI",0.00166,"Nooreen Farooq Khan
(PTI)",19
"Rana Iradat Sharif Khan","PML-N",0.001619,"Rana Iradat Sharif Khan
(PML-N)",20
